executable,text_bytes,data_bytes,bss_bytes,total_bytes
cmsisnn_bench_ae_large,67834,1016,41040,109890
cmsisnn_bench_ae_medium,50650,1016,41040,92706
cmsisnn_bench_ae_small,36026,1016,41040,78082
cmsisnn_bench_cnn2d_intermediate,120454,936,40016,161406
cmsisnn_bench_cnn2d_mobilenet,273574,936,40016,314526
cmsisnn_bench_cnn2d_simple,48390,936,40016,89342
cmsisnn_bench_iaes_large_relu,91066,1008,41040,133114
cmsisnn_bench_iaes_large_sigmoid,91066,1008,41040,133114
cmsisnn_bench_iaes_medium_relu,31610,984,41040,73634
cmsisnn_bench_iaes_medium_sigmoid,31626,984,41040,73650
cmsisnn_bench_iaes_small_relu,16186,976,41040,58202
cmsisnn_bench_iaes_small_sigmoid,16186,976,41040,58202
cmsisnn_bench_lstm_h128,95995,1192,40016,137203
cmsisnn_bench_lstm_h32,25979,1192,40016,67187
cmsisnn_bench_lstm_h64,41115,1192,40016,82323
cmsisnn_bench_mlp_large_relu,90218,1008,41040,132266
cmsisnn_bench_mlp_large_sigmoid,90218,1008,41040,132266
cmsisnn_bench_mlp_medium_relu,31258,984,41040,73282
cmsisnn_bench_mlp_medium_sigmoid,31258,984,41040,73282
cmsisnn_bench_mlp_small_relu,16090,976,41040,58106
cmsisnn_bench_mlp_small_sigmoid,16090,976,41040,58106
fann_bench_ae,10156,976,40016,51148
fann_bench_iaes,9907,976,40016,50899
fann_bench_mlp,9899,976,40016,50891
genann_bench_ae,14711,968,72800,88479
genann_bench_iaes,14503,968,72800,88271
genann_bench_mlp,14495,968,72800,88263
litert_bench_ae,11182,1056,40016,52254
litert_bench_cnn2d,11198,1072,40016,52286
litert_bench_iaes,10869,1056,40016,51941
litert_bench_lstm,10922,1056,40016,51994
litert_bench_mlp,10933,1056,40016,52005
ncnn_bench_ae,4656374,32976,40584,4729934
ncnn_bench_cnn2d,4660362,32976,40584,4733922
ncnn_bench_iaes,4660193,32976,40584,4733753
ncnn_bench_lstm,4652038,32976,40584,4725598
ncnn_bench_mlp,4652065,32976,40584,4725625
onnx_bench_ae,10770,968,40032,51770
onnx_bench_cnn2d,11070,984,40032,52086
onnx_bench_iaes,10565,968,40032,51565
onnx_bench_lstm,10523,960,40032,51515
onnx_bench_mlp,10565,968,40032,51565
