executable,text_bytes,data_bytes,bss_bytes,total_bytes
fann_bench_ae,9201,944,40008,50153
fann_bench_iaes,9036,944,40008,49988
fann_bench_mlp,9076,944,40008,50028
genann_bench_ae,13419,936,72784,87139
genann_bench_iaes,13219,936,72784,86939
genann_bench_mlp,13247,936,72784,86967
litert_bench_ae,10500,1032,40008,51540
litert_bench_cnn2d,10313,1032,40008,51353
litert_bench_iaes,10287,1032,40008,51327
litert_bench_lstm,10364,1032,40008,51404
litert_bench_mlp,10315,1032,40008,51355
ncnn_bench_ae,1509453,33144,41384,1583981
ncnn_bench_cnn2d,1509179,33136,41384,1583699
ncnn_bench_iaes,1509256,33144,41384,1583784
ncnn_bench_lstm,1509329,33144,41384,1583857
ncnn_bench_mlp,1509280,33144,41384,1583808
onnx_bench_ae,10325,944,40016,51285
onnx_bench_cnn2d,10398,944,40016,51358
onnx_bench_iaes,10208,944,40016,51168
onnx_bench_lstm,10201,944,40016,51161
onnx_bench_mlp,10228,944,40016,51188
perf_probe,4989,776,8,5773
