benchmark,n_runs,cycles_sum,cycles_mean,cycles_std,cycles_p95,cycles_p99,instructions_sum,instructions_mean,instructions_std,l1_loads_sum,l1_loads_mean,l1_misses_sum,l1_misses_mean,l1_miss_rate_pct,branch_misses_sum,branch_misses_mean,ipc
ae_large_int8,1000,17742375,17742.4,9579.0,24731,24980,15972463,15972.5,13443.1,4696737,4696.7,36148,36.1,0.77,20640,20.6,0.9002
ae_medium_int8,1000,16028539,16028.5,9128.5,23191,23333,17075888,17075.9,11312.1,5489176,5489.2,46896,46.9,0.85,18346,18.3,1.0653
ae_small_int8,1000,15590613,15590.6,8226.4,21219,21491,13058008,13058.0,9719.1,4587519,4587.5,32121,32.1,0.70,20733,20.7,0.8376
cnn_intermediate_int8,1000,15307797,15307.8,7129.2,18255,34416,10579648,10579.6,5862.9,3946855,3946.9,46785,46.8,1.19,17019,17.0,0.6911
cnn_mobilenet_int8,1000,15631631,15631.6,8407.1,24356,38952,11983567,11983.6,6082.7,5732165,5732.2,114574,114.6,2.00,31369,31.4,0.7666
cnn_simple_int8,1000,13433245,13433.2,7216.9,17676,20145,9859673,9859.7,5314.0,3754610,3754.6,42620,42.6,1.14,21597,21.6,0.7340
lstm_h128_int8,1000,2313103108,2313103.1,1878455.5,3948820,3956867,5054780384,5054780.4,4097897.2,1814798190,1814798.2,11706293,11706.3,0.65,3423870,3423.9,2.1853
lstm_h32_int8,1000,306507364,306507.4,243032.4,503442,514164,627776830,627776.8,491011.0,161742878,161742.9,89604,89.6,0.06,553534,553.5,2.0482
lstm_h64_int8,1000,762816875,762816.9,634129.5,1307053,1309268,1584330982,1584331.0,1326126.0,532229745,532229.7,2348452,2348.5,0.44,1808649,1808.6,2.0769
iaes_large_relu_int8,1000,16163638,16163.6,9812.7,23403,23573,14515626,14515.6,12913.1,4551683,4551.7,43796,43.8,0.96,15483,15.5,0.8980
iaes_large_sigmoid_int8,1000,15738931,15738.9,9628.1,23145,23395,15117730,15117.7,13166.6,4643466,4643.5,45327,45.3,0.98,17652,17.7,0.9605
iaes_medium_relu_int8,1000,13781421,13781.4,8055.7,19210,19398,10515866,10515.9,8659.4,3339102,3339.1,37988,38.0,1.14,14167,14.2,0.7630
