benchmark,n_runs,cycles_sum,cycles_mean,cycles_std,cycles_p95,cycles_p99,instructions_sum,instructions_mean,instructions_std,l1_loads_sum,l1_loads_mean,l1_misses_sum,l1_misses_mean,l1_miss_rate_pct,branch_misses_sum,branch_misses_mean,ipc
ae_large_f32,999,521888124,522410.5,481711.2,1008355,1037185,881958629,882841.5,590403.8,179296729,179476.2,2656916,2659.6,1.48,719021,719.7,1.6899
ae_medium_f32,999,488746431,489235.7,317675.2,718816,750887,442504981,442947.9,437716.5,122880903,123003.9,1825990,1827.8,1.49,828902,829.7,0.9054
ae_small_f32,999,240424057,240664.7,215565.1,470335,504494,368054501,368422.9,259931.9,77392083,77469.6,1208364,1209.6,1.56,769577,770.3,1.5309
iaes_large_relu_f32,999,690018497,690709.2,642719.8,1373131,1381859,1228771915,1230001.9,819377.5,249957775,250208.0,3552347,3555.9,1.42,799183,800.0,1.7808
iaes_large_sigmoid_f32,999,699766030,700466.5,671133.7,1395181,1432543,1213374045,1214588.6,844634.8,247377192,247624.8,3584042,3587.6,1.45,776708,777.5,1.7340
iaes_medium_relu_f32,999,206562593,206769.4,168627.4,372391,406983,325497098,325822.9,203918.9,66783346,66850.2,950498,951.4,1.42,744084,744.8,1.5758
iaes_medium_sigmoid_f32,999,204061647,204265.9,176995.9,392831,396589,338757643,339096.7,205513.6,66504008,66570.6,989960,991.0,1.49,832284,833.1,1.6601
iaes_small_relu_f32,999,86161516,86247.8,36020.3,112371,135889,91027209,91118.3,38567.7,13934865,13948.8,83053,83.1,0.60,1004378,1005.4,1.0565
iaes_small_sigmoid_f32,999,73803077,73877.0,45021.0,119373,197663,95284451,95379.8,42964.4,16452182,16468.7,109120,109.2,0.66,902733,903.6,1.2911
mlp_large_relu_f32,999,662219732,662882.6,643437.3,1338028,1379811,1162586303,1163750.1,834181.2,241543382,241785.2,3527470,3531.0,1.46,808700,809.5,1.7556
mlp_large_sigmoid_f32,999,669473907,670144.1,658396.9,1367397,1404923,1197797820,1198996.8,839445.1,246212990,246459.4,3634035,3637.7,1.48,764810,765.6,1.7892
mlp_medium_relu_f32,999,184459877,184644.5,163014.6,366311,394031,294740884,295035.9,207051.5,34296988,34331.3,865864,866.7,2.52,1574920,1576.5,1.5979
mlp_medium_sigmoid_f32,999,168039161,168207.4,170242.0,386227,388190,345523365,345869.2,195744.9,68060216,68128.3,997689,998.7,1.47,692597,693.3,2.0562
mlp_small_relu_f32,999,64725567,64790.4,37010.3,108857,115519,82605868,82688.6,40357.2,17754770,17772.5,69163,69.2,0.39,720259,721.0,1.2762
mlp_small_sigmoid_f32,999,85507571,85593.2,38663.3,118122,143608,80630843,80711.6,45712.1,19058034,19077.1,72377,72.4,0.38,662403,663.1,0.9430
ae_large_f64,999,144653196,144798.0,127464.4,292763,293844,142187972,142330.3,85651.4,21588096,21609.7,2556329,2558.9,11.84,1198044,1199.2,0.9830
ae_medium_f64,999,135906779,136042.8,108687.6,253421,254426,125584172,125709.9,72299.1,23111167,23134.3,1987158,1989.1,8.60,645449,646.1,0.9240
ae_small_f64,999,114220528,114334.9,86302.7,213386,214132,106551022,106657.7,59440.8,17347681,17365.0,1164178,1165.3,6.71,1097424,1098.5,0.9329
iaes_large_sigmoid_f64,999,91537676,91629.3,57450.7,154515,156106,79270434,79349.8,40495.1,15659368,15675.0,765559,766.3,4.89,1099374,1100.5,0.8660
iaes_medium_sigmoid_f64,999,49333389,49382.8,32970.0,113486,114879,61812431,61874.3,27327.4,13393055,13406.5,682490,683.2,5.10,578690,579.3,1.2530
iaes_small_sigmoid_f64,999,46958076,47005.1,17106.3,69845,71586,45688206,45733.9,14029.9,9459817,9469.3,88781,88.9,0.94,772721,773.5,0.9730
mlp_large_sigmoid_f64,999,88726811,88815.6,56807.3,150232,169206,71503648,71575.2,41386.0,15071982,15087.1,946189,947.1,6.28,784644,785.4,0.8059
mlp_medium_sigmoid_f64,999,61632681,61694.4,34617.9,109894,111075,58976374,59035.4,27201.8,11433998,11445.4,504858,505.4,4.42,1096236,1097.3,0.9569
mlp_small_sigmoid_f64,999,39030833,39069.9,14546.6,67250,67782,45643897,45689.6,12057.1,10064854,10074.9,30307,30.3,0.30,537680,538.2,1.1694
ae_large_f32,999,167496807,167664.5,134450.2,305848,335812,182406947,182589.5,109333.9,32475852,32508.4,2561918,2564.5,7.89,1866536,1868.4,1.0890
ae_large_int8,999,236489603,236726.3,211678.4,461007,492947,308385460,308694.2,202905.8,82700586,82783.4,718699,719.4,0.87,1515930,1517.4,1.3040
ae_medium_f32,999,173846952,174021.0,91177.2,236680,266665,111654626,111766.4,87994.3,24149024,24173.2,1921335,1923.3,7.96,1236041,1237.3,0.6423
ae_medium_int8,999,143938480,144082.6,149834.5,345715,353286,264928094,265193.3,126347.8,68643245,68712.0,440442,440.9,0.64,773937,774.7,1.8406
ae_small_f32,999,112320103,112432.5,72573.3,181344,182043,107892408,108000.4,56406.0,19714968,19734.7,1259709,1261.0,6.39,837519,838.4,0.9606
ae_small_int8,999,128722894,128851.7,104583.9,245504,246456,177029139,177206.3,85645.3,35419653,35455.1,291763,292.1,0.82,1513855,1515.4,1.3753
cnn_intermediate_f32,999,18815778627,18834613.2,11679775.9,37448365,37524070,19147716080,19166883.0,7635800.7,4621704231,4626330.6,448618430,449067.5,9.71,3995929,3999.9,1.0176
cnn_intermediate_int8,999,77695130880,77772903.8,9661167.9,89978159,89981855,150941423442,151092516.0,13048781.6,15105551890,15120672.6,55427277,55482.8,0.37,7482006,7489.5,1.9427
cnn_mobilenet_f32,999,57171823061,57229052.1,9549156.6,69958545,70642714,62924879319,62987867.2,7975609.4,16691601370,16708309.7,685887906,686574.5,4.11,6476958,6483.4,1.1006
