benchmark,cycles,instructions,ipc,cache_references,cache_misses,cache_miss_rate_pct,l1_dcache_loads,l1_dcache_load_misses,l1_miss_rate_pct,branch_misses,context_switches,elapsed_time_s
cmsisnn_ae_large,1901194072,3227305539,1.6975,1240063852,960354,0.08,1235127404,960259,0.08,1076679,12,1.085089629
cmsisnn_ae_medium,2007381717,3220871271,1.6045,1238136691,9310522,0.75,1233792935,9307175,0.75,1051704,10,1.142674925
cmsisnn_ae_small,1965124495,3250954390,1.6543,1247212967,1724581,0.14,1245971916,1723689,0.14,1167240,90,1.186829888
cmsisnn_cnn2d_intermediate,92270759,80902505,0.8768,22017161,271234,1.23,19744077,270492,1.37,764139,3,0.094487222
cmsisnn_cnn2d_mobilenet,505826901,512972954,1.0141,94718742,1351294,1.43,96428092,1384979,1.44,3701488,25,0.611517388
cmsisnn_cnn2d_simple,97989730,85179350,0.8693,22339115,309411,1.39,20549802,305906,1.49,759619,9,0.119554796
cmsisnn_iaes_large_relu,61853738,71860095,1.1618,22494566,260393,1.16,23314895,262008,1.12,175288,2,0.070402963
cmsisnn_iaes_large_sigmoid,61569017,69859814,1.1347,24145753,101339,0.42,23363362,104655,0.45,173984,3,0.069656797
cmsisnn_iaes_medium_relu,56338655,56470463,1.0023,21683301,104887,0.48,21680910,103488,0.48,169286,2,0.066756667
cmsisnn_iaes_medium_sigmoid,57763097,64218685,1.1118,22015302,194950,0.89,21707099,190728,0.88,162809,2,0.067331407
cmsisnn_iaes_small_relu,54579228,55211620,1.0116,20889004,135988,0.65,20907054,132580,0.63,159892,4,0.067679703
cmsisnn_iaes_small_sigmoid,53587606,59113640,1.1031,19965815,191330,0.96,21019501,195011,0.93,167403,2,0.065399315
cmsisnn_lstm_h128,4029639048,8687183670,2.1558,3125418878,19269366,0.62,3121404458,19240822,0.62,6444871,8,2.284589350
cmsisnn_lstm_h32,575668754,1095896890,1.9037,342170000,258734,0.08,339487854,247884,0.07,1452975,6,0.361104259
cmsisnn_lstm_h64,1356336503,2791909249,2.0584,943652596,1993880,0.21,940941789,1990195,0.21,3660351,6,0.798003333
cmsisnn_mlp_large_relu,41912354,38255335,0.9127,13708752,125972,0.92,14707535,122919,0.84,114856,3,0.063478667
cmsisnn_mlp_large_sigmoid,44126458,40050884,0.9076,15102140,181139,1.20,15271217,187054,1.22,120542,3,0.063936278
cmsisnn_mlp_medium_relu,37984218,30051283,0.7912,11923984,109596,0.92,13370271,110749,0.83,102216,2,0.059922093
cmsisnn_mlp_medium_sigmoid,38574042,30624892,0.7939,13282528,100810,0.76,13278565,99307,0.75,107554,2,0.060055852
cmsisnn_mlp_small_relu,38610274,29007127,0.7513,12475753,116239,0.93,12556099,117662,0.94,107692,5,0.059813778
