framework,algorithm,model,training_time_s,epochs,final_train_loss,final_test_accuracy_pct,test_samples,threshold
CMSIS-NN,Autoencoder,ae_small,58.904,50,0.001782,,,0.01081495
CMSIS-NN,Autoencoder,ae_medium,58.786,50,0.001676,,,0.00994593
CMSIS-NN,Autoencoder,ae_large,56.442,50,0.000793,,,0.00637675
CMSIS-NN,CNN2D,cnn_simple,900.893,5,0.524849,,,
CMSIS-NN,CNN2D,cnn_intermediate,953.241,5,0.478237,,,
CMSIS-NN,CNN2D,cnn_mobilenet,1733.306,5,0.413516,,,
CMSIS-NN,LSTM,lstm_h32,75.36,,0.003785,,,
CMSIS-NN,LSTM,lstm_h64,67.094,,0.001668,,,
CMSIS-NN,LSTM,lstm_h128,138.751,,0.000724,,,
CMSIS-NN,MLP,iaes_small_relu,166.948,200,0.048603,,,
CMSIS-NN,MLP,iaes_small_sigmoid,53.53,200,0.056035,,,
CMSIS-NN,MLP,iaes_medium_relu,57.736,200,0.036581,,,
CMSIS-NN,MLP,iaes_medium_sigmoid,58.235,200,0.059388,,,
CMSIS-NN,MLP,iaes_large_relu,72.443,200,0.034103,,,
CMSIS-NN,MLP,iaes_large_sigmoid,68.304,200,0.039379,,,
CMSIS-NN,MLP,mlp_small_relu,0.172,500,0.040035,,,
CMSIS-NN,MLP,mlp_small_sigmoid,0.312,500,0.039559,,,
CMSIS-NN,MLP,mlp_medium_relu,0.456,500,0.004588,,,
CMSIS-NN,MLP,mlp_medium_sigmoid,0.331,500,0.038267,,,
CMSIS-NN,MLP,mlp_large_relu,0.488,500,2e-06,,,
CMSIS-NN,MLP,mlp_large_sigmoid,0.816,500,0.031624,,,
FANN,Autoencoder,ae_small,48.216,50,0.018023,74.94,22544,0.42801592
FANN,Autoencoder,ae_medium,84.756,50,0.017515,74.92,22544,0.42947474
FANN,Autoencoder,ae_large,133.978,50,0.400868,75.02,22544,0.04422234
FANN,MLP,iaes_small_relu,17.844,200,0.022549,97.3,1000,
FANN,MLP,iaes_small_sigmoid,22.71,200,0.017495,97.6,1000,
FANN,MLP,iaes_medium_relu,111.315,200,0.092341,87.8,1000,
FANN,MLP,iaes_medium_sigmoid,176.51,200,0.02114,96.5,1000,
FANN,MLP,iaes_large_relu,455.625,200,0.233979,76.1,1000,
FANN,MLP,iaes_large_sigmoid,589.129,200,0.036054,95.7,1000,
FANN,MLP,mlp_small_relu,0.11,500,1362.033936,30.0,30,
FANN,MLP,mlp_small_sigmoid,0.138,500,0.073877,90.0,30,
FANN,MLP,mlp_medium_relu,0.644,500,0.130021,66.67,30,
FANN,MLP,mlp_medium_sigmoid,0.761,500,0.719704,40.0,30,
FANN,MLP,mlp_large_relu,2.812,500,87686.289062,36.67,30,
FANN,MLP,mlp_large_sigmoid,2.936,500,11.753133,76.67,30,
Genann,Autoencoder,ae_small,37.914,50,,78.77,22544,0.0021404338
Genann,Autoencoder,ae_medium,49.0,50,,84.51,22544,0.0025560443
Genann,Autoencoder,ae_large,61.723,50,,82.43,22544,0.0030426962
Genann,MLP,iaes_small_sigmoid,5.727,200,0.015629,98.1,1000,
Genann,MLP,iaes_medium_sigmoid,38.419,200,0.015081,98.1,1000,
Genann,MLP,iaes_large_sigmoid,72.682,200,0.015435,98.1,1000,
Genann,MLP,mlp_small_sigmoid,0.028,500,0.018575,93.33,30,
Genann,MLP,mlp_medium_sigmoid,0.22,500,0.00992,100.0,30,
Genann,MLP,mlp_large_sigmoid,0.424,500,0.010268,96.67,30,
LiteRT,Autoencoder,ae_small,108.86,50,0.001782,,,0.01081495
LiteRT,Autoencoder,ae_medium,117.344,50,0.003135,,,0.01411524
LiteRT,Autoencoder,ae_large,117.545,50,0.001349,,,0.0068008
LiteRT,CNN2D,cnn_simple,1167.924,5,0.589491,,,
LiteRT,CNN2D,cnn_intermediate,1830.865,5,0.481743,,,
LiteRT,CNN2D,cnn_mobilenet,4002.793,5,0.504487,,,
LiteRT,LSTM,lstm_h32,162.682,,0.003785,,,
LiteRT,LSTM,lstm_h64,232.163,,0.002156,,,
LiteRT,LSTM,lstm_h128,581.314,,0.000681,,,
LiteRT,MLP,iaes_small_relu,103.06,200,0.048535,,,
LiteRT,MLP,iaes_small_sigmoid,101.793,200,0.043924,,,
LiteRT,MLP,iaes_medium_relu,122.297,200,0.057865,,,
LiteRT,MLP,iaes_medium_sigmoid,118.05,200,0.051696,,,
LiteRT,MLP,iaes_large_relu,154.432,200,0.043849,,,
LiteRT,MLP,iaes_large_sigmoid,137.4,200,0.061413,,,
LiteRT,MLP,mlp_small_relu,0.738,500,0.040035,,,
LiteRT,MLP,mlp_small_sigmoid,0.337,500,0.04034,,,
LiteRT,MLP,mlp_medium_relu,0.743,500,0.001634,,,
LiteRT,MLP,mlp_medium_sigmoid,0.959,500,0.036848,,,
LiteRT,MLP,mlp_large_relu,2.153,500,4e-06,,,
LiteRT,MLP,mlp_large_sigmoid,1.13,500,0.02706,,,
NCNN,Autoencoder,ae_small,48.223,50,0.001782,,,0.01081495
NCNN,Autoencoder,ae_medium,55.093,50,0.003135,,,0.01411524
NCNN,Autoencoder,ae_large,63.14,50,0.001349,,,0.0068008
NCNN,CNN2D,cnn_simple,969.931,5,0.589491,,,
NCNN,CNN2D,cnn_intermediate,1381.841,5,0.477245,,,
NCNN,CNN2D,cnn_mobilenet,3378.361,5,0.506812,,,
NCNN,LSTM,lstm_h32,88.586,,0.003785,,,
NCNN,LSTM,lstm_h64,131.402,,0.001789,,,
NCNN,LSTM,lstm_h128,357.751,,0.000564,,,
NCNN,MLP,iaes_small_relu,70.187,200,0.048535,,,
NCNN,MLP,iaes_small_sigmoid,55.298,200,0.043924,,,
NCNN,MLP,iaes_medium_relu,57.073,200,0.057865,,,
NCNN,MLP,iaes_medium_sigmoid,55.869,200,0.051696,,,
NCNN,MLP,iaes_large_relu,75.407,200,0.043849,,,
NCNN,MLP,iaes_large_sigmoid,73.101,200,0.061413,,,
NCNN,MLP,mlp_small_relu,0.445,500,0.040035,,,
NCNN,MLP,mlp_small_sigmoid,0.318,500,0.04034,,,
NCNN,MLP,mlp_medium_relu,0.74,500,0.001634,,,
NCNN,MLP,mlp_medium_sigmoid,1.285,500,0.036848,,,
NCNN,MLP,mlp_large_relu,1.447,500,4e-06,,,
NCNN,MLP,mlp_large_sigmoid,1.058,500,0.02706,,,
ONNX,Autoencoder,ae_small,202.249,50,0.001782,,,0.01081495
ONNX,Autoencoder,ae_medium,237.867,50,0.003135,,,0.01411524
ONNX,Autoencoder,ae_large,252.119,50,0.001349,,,0.0068008
ONNX,CNN2D,cnn_simple,1345.323,5,0.589491,,,
ONNX,CNN2D,cnn_intermediate,2217.851,5,0.481743,,,
ONNX,CNN2D,cnn_mobilenet,3286.391,5,0.504487,,,
ONNX,LSTM,lstm_h32,23.436,99,0.003785,,,
ONNX,LSTM,lstm_h64,41.341,100,0.002156,,,
ONNX,LSTM,lstm_h128,110.036,100,0.000681,,,
ONNX,MLP,iaes_small_relu,233.188,200,0.048535,,,
ONNX,MLP,iaes_small_sigmoid,244.896,200,0.043924,,,
ONNX,MLP,iaes_medium_relu,320.159,200,0.057865,,,
ONNX,MLP,iaes_medium_sigmoid,349.016,200,0.051696,,,
ONNX,MLP,iaes_large_relu,483.836,200,0.043849,,,
ONNX,MLP,iaes_large_sigmoid,518.692,200,0.061413,,,
ONNX,MLP,mlp_small_relu,1.384,500,0.040035,,,
ONNX,MLP,mlp_small_sigmoid,1.239,500,0.04034,,,
ONNX,MLP,mlp_medium_relu,1.287,500,0.001634,,,
ONNX,MLP,mlp_medium_sigmoid,1.186,500,0.036848,,,
ONNX,MLP,mlp_large_relu,1.954,500,4e-06,,,
ONNX,MLP,mlp_large_sigmoid,3.273,500,0.02706,,,
